mint,state,size_sol,entry_price,exit_price,exit_reason,gross_pnl_sol,fees_sol,net_pnl_sol,pnl_pct,mfe_pct,mae_pct,hold_ms,exit_trigger_to_confirm_ms,entry_soft_score,high_volatility,feed_source,venue,slippage_sol,mode,relaxed_risk,relaxed_reasons_json,opened_at,closed_at,entry_tx,exit_tx
6cM4D9B2mJMr61U5AyfNwf9XPr8rq4vdcBHrCtRACoin,CLOSED,0.05,3.2405422586461965e-7,3.8177782697346884e-7,TAKE_PROFIT_1,0.008906472513178155,0.000734268448963043,0.008172204064215111,16.34440812843022,17.812945026356306,-6.1775891780871754,1134,,85,0,,,0.00008426844896304308,dry-run,1,"[""relaxed_h5_top10""]",2026-09-22T18:43:58.091Z,2026-09-22T18:43:59.225Z,,
DVCRKjTXxcjjxPthvnwKvvEQ3auMBiY93jRffPMEpump,CLOSED,0.10833333333333334,3.704744972793663e-7,4.2669202301989897e-7,TAKE_PROFIT_1,0.016439004573726088,0.001301979194022361,0.015137025379703727,13.972638812034207,15.174465760362535,-3.9143621102037223,11074,,85,0,,,0.0003603125273556944,dry-run,0,,2026-09-22T18:44:50.173Z,2026-09-22T18:45:01.247Z,,
GuAyLSJKDaD6NWoJEyn774HobZnhQaqiskSfNvmLpump,CLOSED,0.10833333333333334,3.3200437722857036e-7,3.99421874142988e-7,TAKE_PROFIT_1,0.021998391185970412,0.0013383339876985635,0.02066005719827185,19.070822029174014,20.306207248588066,-3.9238332466608434,2238,,85,0,,,0.0003966673210318966,dry-run,0,,2026-09-22T18:48:11.086Z,2026-09-22T18:48:13.324Z,,
7T7GQPtaWu6Mp2xYe1J7ffQBm1YZEe9gUq56myGyAGNT,CLOSED,0.03,3.300836356665206e-7,2.6560833313632984e-7,STOP_LOSS,-0.005859905996248417,0.000572937376107546,-0.0064328433723559635,-21.442811241186547,6.639349497535497,-19.533019987494733,5281,,85,0,,,0.00002293737610754593,dry-run,0,,2026-09-22T18:52:43.860Z,2026-09-22T18:52:49.141Z,,
9hcEuAr3jBTv4msqwEQ4wa2EhCsJLrZqJJAqiJhFuS3y,CLOSED,0.015,3.2578953568873854e-7,2.5779875592234013e-7,STOP_LOSS,-0.0031304311058976387,0.0004807200920024301,-0.0036111511979000687,-24.07434131933379,0,-20.86954070598426,4131,,70,0,,,0.000005720092002430125,dry-run,1,"[""relaxed_h5_top10""]",2026-09-22T18:57:12.110Z,2026-09-22T18:57:16.241Z,,
AbbMu7BKCuYgXuYErQ6TqBdmnzjKnhr6pyJAeucupump,CLOSED,0.03,3.072009245750152e-7,3.5858299151155366e-7,TAKE_PROFIT_1,0.005017764872383203,0.0005810269943325393,0.004436737878050664,14.78912626016888,16.725882907944012,-2.2692959609861063,24546,,85,0,laserstream,pumpswap,0.0000310269943325392,dry-run,0,,2026-09-22T18:58:41.756Z,2026-09-22T18:59:06.302Z,,
CrmfEGzuR8i5HZ2v4mz6E1iwmgE4kmHQhTYqgTS1pump,CLOSED,0.015,3.257895406428226e-7,2.758710912131004e-7,STOP_LOSS,-0.00229834493755817,0.0004809632593557701,-0.00277930819691394,-18.5287213127596,11.265657291216142,-15.322299583721136,36463,,85,0,,,0.00000596325935577009,dry-run,1,"[""relaxed_h5_top10""]",2026-09-22T18:58:43.857Z,2026-09-22T18:59:20.320Z,,
42raWj3XxNN7CAsUg6WSYt2x6PZwUxuCCfe5y9Kxpump,CLOSED,0.03,3.52376316971904e-7,4.0721963258941296e-7,TAKE_PROFIT_1,0.004669154506931447,0.0005785228238651623,0.004090631683066285,13.635438943554284,15.563848356438154,0,25307,,85,0,,,0.00002852282386516233,dry-run,0,,2026-09-22T19:05:10.711Z,2026-09-22T19:05:36.018Z,,
8scSC6m9Y2YDH5hRxvmVPLHUctzyRceh6oYV27pRpump,CLOSED,0.03,3.300836365316515e-7,3.413150378443152e-7,TRAILING_STOP,0.0010207777729315003,0.0005771460101204988,0.00044363176281100153,1.4787725427033385,13.947668587260035,0,16089,,85,0,,,0.000027146010120498776,dry-run,0,,2026-09-22T19:05:45.441Z,2026-09-22T19:06:01.530Z,,
G77YYNS6unEBdyMtwWYQGywjP6LT66bLsuhZfaSNpump,CLOSED,0.03,3.3788292859783235e-7,3.9676738605631977e-7,TAKE_PROFIT_1,0.005228242015912121,0.0005795708135230285,0.0046486712023890925,15.49557067463031,17.42747338637374,0,1913,,85,0,,,0.000029570813523028514,dry-run,0,,2026-09-22T19:12:05.325Z,2026-09-22T19:12:07.238Z,,
Dk7k93vzQhAQ4TWZL7bgkmXwsz5a4qfypHUNpEM1pump,CLOSED,0.03,3.410863424302304e-7,3.9854116448024016e-7,TAKE_PROFIT_1,0.005053396888363737,0.0005792970677812645,0.004474099820582472,14.913666068608242,16.84465629454578,-2.012554602688611,8624,,85,0,,,0.000029297067781264502,dry-run,0,,2026-09-22T19:18:30.325Z,2026-09-22T19:18:38.949Z,,
BeUAXnAoF1ip3kMLCpgdJ8WRQFTzntDkgfyVYyMwpump,CLOSED,0.015,3.270285272993508e-7,4.1629257109152073e-7,TAKE_PROFIT_1,0.004094323721358135,0.00048304955058665276,0.0036112741707714823,24.07516113847655,27.29549147572091,0,2974,,70,0,,,0.000008049550586652756,dry-run,1,"[""relaxed_h5_top10""]",2026-09-22T19:19:36.513Z,2026-09-22T19:19:39.487Z,,
3y4KW6Yere8NAjVSPVVWEXkUoDfXV8b6t3EDGS2W5wP2,CLOSED,0.03,3.250035664764972e-7,3.750809122752876e-7,TAKE_PROFIT_1,0.004622473501601871,0.000579798503881485,0.004042674997720387,13.475583325734622,15.40824500533958,-0.9835449294158706,7341,,70,0,laserstream,pumpswap,0.000029798503881484953,dry-run,0,,2026-09-22T19:34:28.135Z,2026-09-22T19:34:35.476Z,,
3TgyMCkjRu6bGdvkz4UkjexsooTUJnx7uas5Qsnspump,CLOSED,0.03,3.386160800789404e-7,2.4842260181652463e-7,STOP_LOSS,-0.00799077334792157,0.0005714258055371488,-0.00856219915345872,-28.540663844862397,4.804428325533718,-26.635911159738573,3840,,85,0,,,0.0000214258055371487,dry-run,0,,2026-09-22T19:39:32.758Z,2026-09-22T19:39:36.598Z,,
DKuVu9PoKeJU7jDr8vYXL1Sdgya2mXxYb35S1rThpump,CLOSED,0.03,3.178720567798703e-7,2.675639188161053e-7,STOP_LOSS,-0.004747961032504713,0.0005740879757554201,-0.005322049008260133,-17.740163360867108,9.424863741406844,-15.82653677501571,34101,,75,0,laserstream,pumpswap,0.000024087975755420014,dry-run,0,,2026-09-22T19:49:30.388Z,2026-09-22T19:50:04.489Z,,
